
=================================================================
  DEPTHWIZARD: OVERNIGHT 100% DATASET TRAINING ENGINE
  Device: NVIDIA GeForce RTX 4060 Laptop GPU (8.59 GB VRAM)
  Batch Size: 8 | Epochs: 12 | Mixed Precision: FP16 AMP
  Logging to: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.log
  Telemetry: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.jsonl
=================================================================

[04:18:45] Scanning repository files for earthflow/GAMUS (train)...

=================================================================
  DEPTHWIZARD: OVERNIGHT 100% DATASET TRAINING ENGINE
  Device: NVIDIA GeForce RTX 4060 Laptop GPU (8.59 GB VRAM)
  Batch Size: 8 | Epochs: 12 | Mixed Precision: FP16 AMP
  Logging to: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.log
  Telemetry: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.jsonl
=================================================================

[04:19:21] Loading discovered tiles from local cache (data\gamus_file_list.json)...
[04:19:21] Discovered 3837 tiles in repo. Initializing multi-threaded download (8 workers)...
[04:21:27] Downloaded/Verified: 250/3837 tiles (1000 patches) | Rate: 2.0 tiles/s
[04:23:38] Downloaded/Verified: 500/3837 tiles (2000 patches) | Rate: 1.9 tiles/s
[04:25:54] Downloaded/Verified: 750/3837 tiles (3000 patches) | Rate: 1.9 tiles/s
[04:28:07] Downloaded/Verified: 1000/3837 tiles (4000 patches) | Rate: 1.9 tiles/s
[04:30:25] Downloaded/Verified: 1250/3837 tiles (5000 patches) | Rate: 1.9 tiles/s
[04:32:36] Downloaded/Verified: 1500/3837 tiles (6000 patches) | Rate: 1.9 tiles/s
[04:34:58] Downloaded/Verified: 1750/3837 tiles (7000 patches) | Rate: 1.9 tiles/s
[04:37:14] Downloaded/Verified: 2000/3837 tiles (8000 patches) | Rate: 1.9 tiles/s
[04:39:33] Downloaded/Verified: 2250/3837 tiles (9000 patches) | Rate: 1.9 tiles/s
[04:41:53] Downloaded/Verified: 2500/3837 tiles (10000 patches) | Rate: 1.8 tiles/s
[04:44:09] Downloaded/Verified: 2750/3837 tiles (11000 patches) | Rate: 1.8 tiles/s
[04:46:25] Downloaded/Verified: 3000/3837 tiles (12000 patches) | Rate: 1.8 tiles/s
[04:48:43] Downloaded/Verified: 3250/3837 tiles (13000 patches) | Rate: 1.8 tiles/s
[04:51:05] Downloaded/Verified: 3500/3837 tiles (14000 patches) | Rate: 1.8 tiles/s
[04:53:27] Downloaded/Verified: 3750/3837 tiles (15000 patches) | Rate: 1.8 tiles/s
[04:54:15] Downloaded/Verified: 3837/3837 tiles (15348 patches) | Rate: 1.8 tiles/s
[04:54:15] Dataset ready! Total 512x512 patches: 15348
[04:54:15] Initializing model depth-anything/Depth-Anything-V2-Small-hf...
[04:54:23] Bootstrapping from existing weights: E:\rishabh\sih\DepthWizard\backend\weights\best_model.pth
[04:54:23] Successfully loaded warm weights! Initial baseline loss: 1.1911730985252225

[04:54:24] Commencing training loop: 1918 batches/epoch, 12 epochs total.


=================================================================
  DEPTHWIZARD: OVERNIGHT 100% DATASET TRAINING ENGINE
  Device: NVIDIA GeForce RTX 4060 Laptop GPU (8.59 GB VRAM)
  Batch Size: 8 | Epochs: 12 | Mixed Precision: FP16 AMP
  Logging to: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.log
  Telemetry: E:\rishabh\sih\DepthWizard\backend\logs\training_full_overnight.jsonl
=================================================================

[04:57:09] Loading discovered tiles from local cache (data\gamus_file_list.json)...
[04:57:09] Discovered 3837 tiles in repo. Initializing multi-threaded download (8 workers)...
[04:57:30] Downloaded/Verified: 250/3837 tiles (1000 patches) | Rate: 12.3 tiles/s
[04:57:49] Downloaded/Verified: 500/3837 tiles (2000 patches) | Rate: 12.7 tiles/s
[04:58:06] Downloaded/Verified: 750/3837 tiles (3000 patches) | Rate: 13.3 tiles/s
[04:58:22] Downloaded/Verified: 1000/3837 tiles (4000 patches) | Rate: 13.8 tiles/s
[04:58:38] Downloaded/Verified: 1250/3837 tiles (5000 patches) | Rate: 14.1 tiles/s
[04:58:54] Downloaded/Verified: 1500/3837 tiles (6000 patches) | Rate: 14.3 tiles/s
[04:59:10] Downloaded/Verified: 1750/3837 tiles (7000 patches) | Rate: 14.5 tiles/s
[04:59:26] Downloaded/Verified: 2000/3837 tiles (8000 patches) | Rate: 14.6 tiles/s
[04:59:43] Downloaded/Verified: 2250/3837 tiles (9000 patches) | Rate: 14.7 tiles/s
[04:59:59] Downloaded/Verified: 2500/3837 tiles (10000 patches) | Rate: 14.7 tiles/s
[05:00:17] Downloaded/Verified: 2750/3837 tiles (11000 patches) | Rate: 14.7 tiles/s
[05:00:34] Downloaded/Verified: 3000/3837 tiles (12000 patches) | Rate: 14.7 tiles/s
[05:00:52] Downloaded/Verified: 3250/3837 tiles (13000 patches) | Rate: 14.6 tiles/s
[05:01:09] Downloaded/Verified: 3500/3837 tiles (14000 patches) | Rate: 14.6 tiles/s
[05:01:27] Downloaded/Verified: 3750/3837 tiles (15000 patches) | Rate: 14.6 tiles/s
[05:01:33] Downloaded/Verified: 3837/3837 tiles (15348 patches) | Rate: 14.6 tiles/s
[05:01:33] Dataset ready! Total 512x512 patches: 15348
[05:01:33] Initializing model depth-anything/Depth-Anything-V2-Small-hf...
[05:01:34] Bootstrapping from existing weights: E:\rishabh\sih\DepthWizard\backend\weights\best_model.pth
[05:01:34] Successfully loaded warm weights! Initial baseline loss: 1.1911730985252225

[05:01:34] Commencing training loop: 1918 batches/epoch, 12 epochs total.

  [Epoch 01/12] Batch 0050/1918 | Loss: 1.7493 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0100/1918 | Loss: 1.7585 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0150/1918 | Loss: 1.7357 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0200/1918 | Loss: 1.7316 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0250/1918 | Loss: 1.7260 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0300/1918 | Loss: 1.7243 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0350/1918 | Loss: 1.7264 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0400/1918 | Loss: 1.7193 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0450/1918 | Loss: 1.7179 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0500/1918 | Loss: 1.7172 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0550/1918 | Loss: 1.7061 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0600/1918 | Loss: 1.7044 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0650/1918 | Loss: 1.6995 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0700/1918 | Loss: 1.6930 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0750/1918 | Loss: 1.6921 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0800/1918 | Loss: 1.6866 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0850/1918 | Loss: 1.6833 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0900/1918 | Loss: 1.6862 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 0950/1918 | Loss: 1.6830 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1000/1918 | Loss: 1.6836 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1050/1918 | Loss: 1.6794 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1100/1918 | Loss: 1.6779 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1150/1918 | Loss: 1.6728 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1200/1918 | Loss: 1.6708 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1250/1918 | Loss: 1.6691 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1300/1918 | Loss: 1.6670 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1350/1918 | Loss: 1.6645 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1400/1918 | Loss: 1.6609 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1450/1918 | Loss: 1.6594 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1500/1918 | Loss: 1.6578 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1550/1918 | Loss: 1.6548 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1600/1918 | Loss: 1.6526 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1650/1918 | Loss: 1.6513 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1700/1918 | Loss: 1.6504 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1750/1918 | Loss: 1.6485 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1800/1918 | Loss: 1.6475 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1850/1918 | Loss: 1.6439 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1900/1918 | Loss: 1.6442 | VRAM: 0.48 GB | LR: 2.50e-04
  [Epoch 01/12] Batch 1918/1918 | Loss: 1.6439 | VRAM: 0.48 GB | LR: 2.50e-04

>>> [EPOCH 01/12] COMPLETE | Avg Loss: 1.6439 | Time: 20.8 min | LR: 5.00e-04
  ==> [CHECKPOINT] Best model saved to best_model.pth (Loss: 1.6439)

  [Epoch 02/12] Batch 0050/1918 | Loss: 1.6445 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0100/1918 | Loss: 1.6331 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0150/1918 | Loss: 1.6385 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0200/1918 | Loss: 1.6615 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0250/1918 | Loss: 1.6574 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0300/1918 | Loss: 1.6598 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0350/1918 | Loss: 1.6512 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0400/1918 | Loss: 1.6453 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0450/1918 | Loss: 1.6455 | VRAM: 0.48 GB | LR: 5.00e-04
  [Epoch 02/12] Batch 0500/1918 | Loss: 1.6371 | VRAM: 0.48 GB | LR: 5.00e-04
